Unnamed: 0,imdb_id,startYear,originalTitle,runtimeMinutes,one_genre,genres1,genres2,genres3,tags,mood_tags,youtube_id,split
0,tt0023427,1932,Scarface,93,Crime,Action,Crime,Drama,"violence, murder",violence,XRmWftEjit0,train
2,tt0031381,1939,Gone with the Wind,238,Romance,Drama,Romance,War,"romantic, boring, historical, murder, melodrama","romantic, boring",0dTsfsr6-X8,train
3,tt0032910,1940,Pinocchio,88,Action,Adventure > Action,Animation,Comedy,"cute, fantasy, entertaining","cute, fantasy",WOjibXs2opw,train
5,tt0034492,1942,Bambi,69,Drama,Adventure,Animation,Drama,cute,cute,wlnfh2DEIgY,train
6,tt0035896,1943,For Whom the Bell Tolls,170,Action,Adventure > Action,Drama,History,"violence, murder",violence,uxFEGZwzElc,train
8,tt0040746,1948,Rope,80,Crime,Crime,Drama,Mystery,"murder, cult, atmospheric, philosophical, suspenseful, storytelling","atmospheric, suspenseful",ADoJWPAvHuM,train
9,tt0041716,1949,On the Town,98,Romance,Comedy,Musical,Romance,romantic,romantic,x7CIgWZTdgw,train
12,tt0043274,1951,Alice in Wonderland,75,Comedy,Adventure,Animation,Comedy,"fantasy, whimsical, cute, alternate reality, psychedelic, entertaining","fantasy, cute",UetmdGJdblc,train
13,tt0043379,1951,Captain Horatio Hornblower R.N.,117,Action,Action,Adventure,Drama,"violence, action, historical fiction","violence, action",s2l0p-fg4lU,train
14,tt0044926,1952,Moulin Rouge,119,Drama,Biography,Drama,Music,romantic,romantic,CKyh4zKkths,train
15,tt0045125,1952,Scaramouche,115,Action,Action,Adventure,Comedy,"revenge, action, murder",action,yzYEYyOsQtA,train
16,tt0045152,1952,Singin' in the Rain,103,Comedy,Comedy,Musical,Romance,"comedy, boring, flashback, satire, romantic, historical","comedy, boring, romantic",jEKQwy13j_8,train
17,tt0045810,1953,Gentlemen Prefer Blondes,91,Comedy,Comedy,Musical,Romance,"romantic, satire",romantic,ur9GKLl8v4U,train
18,tt0045888,1953,House of Wax,88,Horror,Horror,,,"revenge, murder",,M5RkKx-9tEM,train
19,tt0045963,1953,Kiss Me Kate,109,Comedy,Comedy,Musical,Romance,romantic,romantic,ZiTQMypUgs8,train
20,tt0046183,1953,Peter Pan,77,Action,Adventure > Action,Animation,Family,"good versus evil, psychedelic, fantasy, action, entertaining","fantasy, action",4GVdbBpVVoc,train
21,tt0046303,1953,Shane,118,Drama,Drama,Western,,"revenge, murder, violence, melodrama",violence,SWdPmapuOd4,train
22,tt0046672,1954,"20,000 Leagues Under the Sea",127,Drama,Adventure,Drama,Family,sci-fi,,eC39LB1PTNg,train
23,tt0046912,1954,Dial M for Murder,105,Crime,Crime,Thriller,,"suspenseful, murder, claustrophobic",suspenseful,rHVYaFCXVFM,train
25,tt0047472,1954,Seven Brides for Seven Brothers,102,Drama,Comedy,Drama,Musical,romantic,romantic,CfFFFfRwsR0,train
26,tt0047673,1954,White Christmas,120,Comedy,Comedy,Musical,Romance,romantic,romantic,3n3-UtakD3I,train
27,tt0047834,1954,Animal Farm,72,Drama,Animation,Drama,,"allegory, psychedelic, satire, murder",,YGCo5Tva39s,train
28,tt0047849,1955,Bad Day at Black Rock,81,Crime,Crime,Drama,Mystery,"cult, murder",,vWpvrb6i9bI,train
29,tt0048545,1955,Rebel Without a Cause,111,Drama,Drama,,,"cult, violence, romantic","violence, romantic",AnQ5CPEMjPI,train
30,tt0048728,1955,To Catch a Thief,106,Romance,Mystery,Romance,Thriller,"murder, atmospheric",atmospheric,5PAUVYq-nAM,train
32,tt0049223,1956,Forbidden Planet,98,Action,Adventure > Action,Sci-Fi,,"comedy, psychological, murder, cult, psychedelic, suspenseful, sci-fi","comedy, suspenseful",wGHUye0TiKs,train
34,tt0049261,1956,Giant,201,Drama,Drama,Western,,"romantic, depressing, realism, melodrama","romantic, depressing",kMG_ipol-MI,train
37,tt0049966,1956,Written on the Wind,99,Drama,Drama,,,"melodrama, revenge, psychedelic, romantic, flashback",romantic,862Yc-cwQEY,train
38,tt0050419,1957,Funny Face,103,Comedy,Comedy,Musical,Romance,philosophical,,X6VLdVrVQGQ,train
39,tt0051459,1958,Cat on a Hot Tin Roof,108,Drama,Drama,,,sentimental,sentimental,TWsG_Qj1wUo,train
40,tt0051554,1958,Dracula,82,Drama,Drama,Horror,,"gothic, paranormal, cult, violence, good versus evil, suspenseful","violence, suspenseful",8Y0UvD8albI,train
41,tt0051658,1958,Gigi,115,Romance,Comedy,Musical,Romance,romantic,romantic,jEofRODHZ1w,train
42,tt0052357,1958,Vertigo,128,Romance,Mystery,Romance,Thriller,"mystery, murder, cult, atmospheric, flashback, psychedelic, romantic, plot twist","mystery, atmospheric, romantic",c2u96ONO5K0,train
44,tt0052905,1959,The Hound of the Baskervilles,87,Horror,Horror,Mystery,,"gothic, murder, atmospheric",atmospheric,qQRQ8MXqS10,train
45,tt0052918,1959,Imitation of Life,125,Drama,Drama,,,melodrama,,HaanE7v6uJI,train
46,tt0052948,1959,Journey to the Center of the Earth,129,Action,Adventure > Action,Family,Fantasy,murder,,ld5RyBXiROY,train
48,tt0053172,1959,Pillow Talk,102,Romance,Comedy,Romance,,"romantic, comedy","romantic, comedy",jVaCxZgZbOY,train
50,tt0054047,1960,The Magnificent Seven,128,Action,Action,Adventure,Western,"revenge, cult, murder, violence",violence,oam0x6wNK94,train
51,tt0054195,1960,Pollyanna,134,Comedy,Comedy,Drama,Family,romantic,romantic,XVtLP5tfpCA,train
52,tt0054331,1960,Spartacus,197,Drama,Adventure,Biography,Drama,"tragedy, romantic, historical, murder, violence","romantic, violence",I98o9rJtGSo,train
54,tt0054494,1960,Zazie dans le m?tro,93,Comedy,Comedy,Fantasy,,"absurd, psychedelic",,lpt0xB7qSj4,train
55,tt0054698,1961,Breakfast at Tiffany's,115,Romance,Comedy,Drama,Romance,"cult, psychedelic, humor, satire, melodrama, romantic, sentimental","humor, romantic, sentimental",urQVzgEO_w8,train
56,tt0054847,1961,El Cid,182,Drama,Biography,Drama,History,violence,violence,1ZzCrkIf5Sc,train
57,tt0055257,1961,One-Eyed Jacks,141,Drama,Drama,Western,,"revenge, cult",,m5zLqS9Abo0,train
58,tt0055304,1961,The Pit and the Pendulum,80,Drama,Drama,Horror,Mystery,"insanity, cult, gothic, murder, flashback",,QChBy15UiTs,train
59,tt0055471,1961,Splendor in the Grass,124,Drama,Drama,Romance,,"romantic, melodrama",romantic,dWDkdsZQq_c,train
60,tt0055614,1961,West Side Story,153,Crime,Crime,Drama,Musical,"tragedy, revenge, murder, romantic, entertaining",romantic,IakulTGwc0U,train
61,tt0055928,1962,Dr. No,110,Horror,Action,Adventure,Thriller>Horror,"good versus evil, cult, murder",,pw61uyA0F8A,train
62,tt0056172,1962,Lawrence of Arabia,218,Drama,Adventure,Biography,Drama,"murder, cult, violence, atmospheric, flashback, insanity, historical","violence, atmospheric",zmr1iSG3RTA,train
63,tt0056264,1962,Mutiny on the Bounty,178,Action,Adventure > Action,Drama,History,action,action,MEmZ_A0UTrA,train
64,tt0056923,1963,Charade,113,Romance,Comedy,Mystery,Romance,"romantic, humor, murder","romantic, humor",QmgPw34Xm3A,train
65,tt0057076,1963,From Russia with Love,115,Action,Action,Adventure,Thriller,"cult, murder",,VqAOf66o1Wg,train
66,tt0057197,1963,Jason and the Argonauts,104,Action,Action,Adventure,Family,"cult, murder",,C-ZQGRM7GW0,train
68,tt0058150,1964,Goldfinger,110,Action,Action,Adventure,Thriller,"suspenseful, murder, cult, action, humor, revenge","suspenseful, action, humor",B8H83OOs8ow,train
69,tt0058329,1964,Marnie,130,Crime,Crime,Drama,Mystery,"melodrama, romantic, psychological, murder, flashback",romantic,QV_2-v_dsAU,train
71,tt0058385,1964,My Fair Lady,170,Drama,Drama,Family,Musical,"romantic, entertaining, clever",romantic,j2OBKPuftKk,train
72,tt0058571,1964,Send Me No Flowers,100,Comedy,Comedy,Drama,Romance,romantic,romantic,wJuDJNhSMGs,train
73,tt0058672,1964,Topkapi,120,Comedy,Adventure,Comedy,Crime,"suspenseful, intrigue",suspenseful,k8thNodJpLc,train
74,tt0058777,1964,Zulu,138,Drama,Drama,History,War,"cult, historical",,7FX-a-KuNv8,train
75,tt0059017,1965,Cat Ballou,97,Comedy,Comedy,Romance,Western,revenge,,koAA9MvqSpI,train
76,tt0059113,1965,Doctor Zhivago,197,Romance,Drama,Romance,War,"avant garde, murder, atmospheric, romantic, revenge, historical","atmospheric, romantic",M1iQ5hQTR5s,train
77,tt0059125,1965,Dr. Terror's House of Horrors,98,Horror,Horror,,,revenge,,cqXG4ooQP6A,train
79,tt0059800,1965,Thunderball,130,Horror,Action,Adventure,Thriller > Horror,"cult, humor, murder, suspenseful","humor, suspenseful",sINW75t3g_U,train
80,tt0060345,1966,How the Grinch Stole Christmas!,26,Comedy,Animation,Comedy,Family,"cult, fantasy, psychedelic, entertaining, humor","fantasy, humor",XYRnwWmteac,train
105,tt0063518,1968,Romeo and Juliet,138,Drama,Drama,Romance,,"murder, cult, action, romantic, tragedy, revenge","action, romantic",nl_eFSeCb-4,train
106,tt0063522,1968,Rosemary's Baby,137,Drama,Drama,Horror,,"murder, horror, atmospheric, good versus evil, psychedelic, suspenseful","horror, atmospheric, suspenseful",NoXLXMbOgiU,train
108,tt0064276,1969,Easy Rider,95,Drama,Adventure,Drama,,"comedy, avant garde, dark, murder, realism, cult, atmospheric, psychedelic, humor, satire","comedy, dark, atmospheric, humor",GwST6mpT7Ds,train
109,tt0064603,1968,The Love Bug,108,Comedy,Comedy,Family,Sport,cult,,KHoSXE9nIHg,train
110,tt0064665,1969,Midnight Cowboy,113,Drama,Drama,,,"tragedy, psychedelic, humor, realism, flashback",humor,a2yBydiEJrI,train
112,tt0064782,1969,Paint Your Wagon,164,Comedy,Comedy,Drama,Musical,"cult, comedy",comedy,B0idoJnBAvk,train
113,tt0065054,1969,Sweet Charity,149,Drama,Comedy,Drama,Music,tragedy,,9bUIvGVbD0E,train
114,tt0065063,1969,Take the Money and Run,85,Comedy,Comedy,Crime,,"comedy, satire, entertaining",comedy,Hrithr42oUM,train
115,tt0065088,1969,"They Shoot Horses, Don't They?",129,Drama,Drama,,,"depressing, flashback",depressing,ke-sWMXspNA,train
116,tt0065112,1969,Topaz,143,Drama,Drama,Thriller,,"suspenseful, intrigue, murder",suspenseful,ZZ_Y2NbC-Dk,train
118,tt0065134,1970,Two Mules for Sister Sara,116,Romance,Adventure,Romance,War,"cult, avant garde, murder, violence",violence,6fYdd6EFVrY,train
119,tt0065207,1968,Where Eagles Dare,158,Action,Action,Adventure,War,"plot twist, violence, romantic, flashback","violence, romantic",b-_P-DoBe6E,train
120,tt0065377,1970,Airport,137,Action,Action,Drama,Thriller,"cult, suspenseful, melodrama",suspenseful,PACKbKt8MOw,train
121,tt0065462,1970,Beneath the Planet of the Apes,95,Action,Action,Adventure,Sci-Fi,"murder, allegory, anti war, violence, cult, flashback, good versus evil, action, satire, suspenseful","violence, action, suspenseful",uMuEnNxX1E8,train
122,tt0065724,1970,Five Easy Pieces,98,Drama,Drama,,,"cult, romantic",romantic,PIYMRqq7cJA,train
123,tt0065738,1969,Frankenstein Must Be Destroyed,101,Horror,Drama,Horror,Sci-Fi,"insanity, gothic, murder",,z6xfI_W9cyQ,train
124,tt0066206,1970,Patton,172,Drama,Biography,Drama,War,"violence, boring, historical","violence, boring",g-0dTpzNzwo,train
125,tt0066214,1970,Performance,105,Crime,Crime,Drama,,"mystery, murder, cult, violence, atmospheric, psychedelic","mystery, violence, atmospheric",wFxfn3LakeM,train
127,tt0066434,1971,THX 1138,86,Drama,Drama,Sci-Fi,Thriller,"avant garde, suspenseful, murder, neo noir, psychological, cult, psychedelic, romantic, sci-fi","suspenseful, romantic",eHgqfVQWv7s,train
128,tt0066808,1971,Bananas,82,Comedy,Comedy,,,"cult, comedy, satire",comedy,Xyqm-wWnX0A,train
129,tt0066995,1971,Diamonds Are Forever,120,Action,Action,Adventure,Thriller,"cult, revenge, murder",,9yOamj4mlnE,train
130,tt0066999,1971,Dirty Harry,102,Crime,Action,Crime,Thriller,"dark, suspenseful, cruelty, murder, neo noir, realism, cult, violence, good versus evil, revenge, sadist","dark, suspenseful, violence, sadist",K6Vi1VurN9s,train
131,tt0067023,1971,Duel,90,Action,Action,Thriller,,"mystery, cult, comedy, suspenseful","mystery, comedy, suspenseful",Gdk1Igqu05Y,train
132,tt0067065,1971,Escape from the Planet of the Apes,98,Action,Action,Sci-Fi,,"alternate history, murder, flashback",,t4OQqg-oL2M,train
133,tt0067093,1971,Fiddler on the Roof,181,Drama,Drama,Family,Musical,"avant garde, flashback",,PjfTNnznJXw,train
134,tt0067185,1971,Harold and Maude,91,Comedy,Comedy,Drama,Romance,"comedy, dark, cute, cult, psychedelic, humor","comedy, dark, cute, humor",u-cOukYeGVM,train
135,tt0067309,1971,Klute,114,Crime,Crime,Mystery,Thriller,"murder, mystery, neo noir, storytelling, sadist","mystery, sadist",ZbQS66Kpgog,train
137,tt0067741,1971,Shaft,100,Action,Action,Crime,Thriller,"grindhouse film, murder, cult, violence, atmospheric, suspenseful, blaxploitation","violence, atmospheric, suspenseful",NiCB2isZcRM,train
138,tt0067756,1972,Silent Running,89,Drama,Drama,Sci-Fi,,"comedy, murder, cult, atmospheric, flashback, psychedelic, claustrophobic, inspiring","comedy, atmospheric, inspiring",TckJBvl_uT0,train
139,tt0067800,1971,Straw Dogs,113,Crime,Crime,Drama,Thriller,"suspenseful, cruelty, murder, cult, violence, flashback, revenge, sadist","suspenseful, violence, sadist",yXkqGVfm1mo,train
140,tt0067959,1971,Walkabout,100,Drama,Adventure,Drama,,"insanity, mystery, storytelling, flashback",mystery,Fdqwbs8uKwQ,train
142,tt0068240,1972,Avanti!,144,Comedy,Comedy,Romance,,murder,,kHML8pMfPGA,train
143,tt0068327,1972,Cabaret,124,Drama,Drama,Music,Musical,"romantic, depressing, historical, queer","romantic, depressing",YE3xrfjAJfs,train
144,tt0068473,1972,Deliverance,109,Horror,Adventure,Drama,Thriller > Horror,"mystery, psychological, realism, murder, cult, violence, suspenseful","mystery, violence, suspenseful",-3Jr7af1FrQ,train
145,tt0068555,1972,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,88,Comedy,Comedy,,,"pornographic, psychedelic, humor, satire",humor,uinn26P2c6M,train
146,tt0068611,1972,Frenzy,116,Horror,Thriller > Horror,,,"murder, cult, revenge, horror, flashback, suspenseful, sadist","horror, suspenseful, sadist",0gWjZpkkkIs,train
147,tt0068699,1973,High Plains Drifter,105,Drama,Drama,Mystery,Western,"dark, suspenseful, mystery, murder, bleak, western, violence, cult, flashback, psychedelic, revenge","dark, suspenseful, mystery, violence",gi0If8tH_Ls,train
148,tt0068762,1972,Jeremiah Johnson,108,Action,Adventure > Action,Drama,Western,"bleak, realism, revenge, murder, atmospheric",atmospheric,QFLwH-ZZ1MY,train
149,tt0069097,1972,"Play It Again, Sam",85,Comedy,Comedy,Romance,,"psychedelic, satire, romantic",romantic,Dl_DBzrNFzc,train
150,tt0069280,1972,Slaughterhouse-Five,104,Drama,Comedy,Drama,Sci-Fi,"boring, murder, flashback, insanity, absurd, psychedelic, revenge, storytelling",boring,DvlZtlBfCi0,train
153,tt0069704,1973,American Graffiti,110,Comedy,Comedy,Drama,,"cult, romantic, prank",romantic,OZ9Gp6Qc8LQ,train
154,tt0069762,1973,Badlands,94,Crime,Action,Crime,Drama,"bleak, atmospheric, cult, murder, violence","atmospheric, violence",qKykxE7CBbc,train
156,tt0069865,1973,Charley Varrick,111,Crime,Crime,Drama,Thriller,"realism, cult, suspenseful, neo noir, murder",suspenseful,TxaqjQWQVAk,train
159,tt0069995,1973,Don't Look Now,110,Drama,Drama,Horror,Mystery,"gothic, paranormal, cult, atmospheric, flashback, psychedelic, suspenseful","atmospheric, suspenseful",XAYVHXlfu8c,train
160,tt0070016,1973,Charlotte's Web,94,Drama,Adventure,Animation,Drama,"romantic, cute, sentimental","romantic, cute, sentimental",QH2vwaiEHRY,train
161,tt0070034,1973,Enter the Dragon,102,Crime,Action,Crime,Drama,"suspenseful, murder, cult, violence, flashback, good versus evil, revenge","suspenseful, violence",80wXmIcyZwk,train
162,tt0070239,1973,Jesus Christ Superstar,106,Drama,Drama,History,Musical,"psychedelic, boring",boring,CEUDcqYGK74,train
163,tt0070328,1973,Live and Let Die,121,Action,Action,Adventure,Thriller,"paranormal, blaxploitation, cult, murder, violence",violence,0xng9anP5fU,train
164,tt0070355,1973,Magnum Force,124,Crime,Action,Crime,Mystery,"cult, murder, violence",violence,qVk8NhLhZMk,train
165,tt0070379,1973,Mean Streets,112,Crime,Crime,Drama,Thriller,"cult, comedy, neo noir, murder, violence","comedy, violence",rCwjzn0CncA,train
