,imdb_id,gt_labels,predicted_labels
0,tt0111419,['fantasy'],['violence']
1,tt0111438,"['violence', 'humor']",['violence']
2,tt0111477,['bleak'],['violence']
3,tt0111503,"['violence', 'comedy', 'action', 'mystery']","['violence', 'action']"
4,tt0111732,['feel-good'],['violence']
5,tt0111742,['comedy'],"['violence', 'suspenseful']"
6,tt0111756,['violence'],['no pred']
7,tt0112281,"['comedy', 'humor']",['romantic']
8,tt0112302,"['violence', 'suspenseful']",['humor']
9,tt0112362,['romantic'],['no pred']
10,tt0112365,['romantic'],"['violence', 'action']"
11,tt0112384,"['suspenseful', 'boring', 'mystery', 'dramatic']",['action']
12,tt0112401,"['violence', 'romantic', 'suspenseful', 'sadist']",['violence']
13,tt0112443,"['action', 'mystery']","['violence', 'comedy', 'humor', 'action']"
14,tt0112462,"['violence', 'comedy', 'action', 'atmospheric']",['no pred']
15,tt0112471,"['romantic', 'boring']",['no pred']
16,tt0112508,['comedy'],['action']
17,tt0112536,['violence'],['violence']
18,tt0112537,['romantic'],['comedy']
19,tt0112573,"['violence', 'romantic', 'action', 'dramatic', 'inspiring']","['violence', 'romantic']"
20,tt0112641,"['violence', 'comedy', 'sadist']","['violence', 'romantic']"
21,tt0112642,['sentimental'],['no pred']
22,tt0112681,['mystery'],['comedy']
23,tt0112688,['violence'],['romantic']
24,tt0112697,"['romantic', 'comedy']",['romantic']
25,tt0112722,"['violence', 'suspenseful', 'mystery', 'horror']",['no pred']
26,tt0112740,"['comedy', 'suspenseful']",['comedy']
27,tt0112792,['inspiring'],['violence']
28,tt0112851,"['violence', 'romantic', 'comedy', 'humor', 'action', 'mystery']",['violence']
29,tt0112857,"['violence', 'suspenseful', 'atmospheric']",['violence']
30,tt0112896,['romantic'],['no pred']
31,tt0113071,['romantic'],['no pred']
32,tt0113097,['boring'],['no pred']
33,tt0113114,['romantic'],['no pred']
34,tt0113161,"['violence', 'comedy']",['comedy']
35,tt0113189,"['violence', 'action', 'sadist', 'dark']",['violence']
36,tt0113228,['comedy'],"['romantic', 'comedy']"
37,tt0113243,"['action', 'boring']",['romantic']
38,tt0113253,"['violence', 'horror']","['violence', 'romantic']"
39,tt0113277,"['violence', 'suspenseful', 'action', 'atmospheric', 'bleak']",['comedy']
40,tt0113303,"['violence', 'sadist', 'horror']",['violence']
41,tt0113305,['violence'],['comedy']
42,tt0113321,['boring'],['no pred']
43,tt0113347,['romantic'],['romantic']
44,tt0113409,"['violence', 'comedy', 'suspenseful', 'fantasy']","['violence', 'action']"
45,tt0113481,['violence'],"['violence', 'comedy']"
46,tt0113492,"['romantic', 'comedy', 'humor']","['violence', 'action']"
47,tt0113540,"['violence', 'tragedy']",['violence']
48,tt0113552,['violence'],"['violence', 'comedy', 'humor', 'action']"
49,tt0113617,['comedy'],['comedy']
50,tt0113627,"['romantic', 'tragedy', 'dramatic', 'dark', 'atmospheric', 'depressing']",['comedy']
51,tt0113677,['romantic'],['no pred']
52,tt0113690,['violence'],['comedy']
53,tt0113729,['romantic'],['no pred']
54,tt0113749,"['romantic', 'comedy', 'humor', 'comic']",['comedy']
55,tt0113820,"['violence', 'action']","['violence', 'comedy', 'action']"
56,tt0113862,"['romantic', 'inspiring', 'feel-good']",['violence']
57,tt0113967,"['violence', 'dark']",['comedy']
58,tt0113986,"['romantic', 'comedy', 'humor']",['no pred']
59,tt0113987,['dramatic'],['no pred']
60,tt0114069,"['romantic', 'suspenseful']",['violence']
61,tt0114148,"['romantic', 'tragedy']",['violence']
62,tt0114168,['romantic'],['violence']
63,tt0114279,['tragedy'],"['comedy', 'atmospheric']"
64,tt0114287,"['violence', 'romantic', 'suspenseful', 'action', 'atmospheric']",['atmospheric']
65,tt0114319,"['romantic', 'fantasy', 'dramatic']",['no pred']
